product_average_rating,product_reviews_count,product_url,product_orignal_price,product_sale_price,product_discount,product_image,product_brand,product_name,product_brand_id,product_sku,seller_name,seller_percentage,seller_rate,seller_rate_level,seller_seller_id,seller_shipment_time,seller_url
5.0,1,https://www.daraz.pk/products/-i356724833-s1795132739.html?search=1,799,532,-33%,https://static-01.daraz.pk/p/565f63654ce95bf89601420b3d8dbf06.jpg,Paradise Zone,Paradise Zone Short Sleeves Tye Dye Multicolour Tshirt For Men,289682,356724833,Paradise Zone,91%,0.91,3,1042506,100%,//www.daraz.pk/shop/paradise-zone/?itemId=356724833&channelSource=pdp
4.4,118,https://www.daraz.pk/products/stylish-design-no-1-printed-full-sleeve-t-shirts-for-men-i259596199-s1476935464.html?search=1,950,750,-21%,https://static-01.daraz.pk/p/af98aac181411eb5ec50e6d2a1da7b12.jpg,No Brand,Stylish Design No. 1 Printed Full Sleeve T Shirts For Men,39704,259596199,MA K store,90%,0.9,3,1115716,97%,//www.daraz.pk/shop/online-shopping-1572288897/?itemId=259596199&channelSource=pdp
4.3,39,https://www.daraz.pk/products/-i214980336-s1424104815.html?search=1,1299,759,-42%,https://static-01.daraz.pk/p/3838d66db8841e7a8d532f52b79a3a2b.jpg,No Brand,Men's Clothing Summer Breathable T-Shirt  and Black Shorts  Gym wear and comfortable,39704,214980336,Hooran Collections,85%,0.85,3,1034804,100%,//www.daraz.pk/shop/hooran-collections/?itemId=214980336&channelSource=pdp
5.0,1,https://www.daraz.pk/products/4-i1160172-s8433544.html?search=1,2100,1799,-14%,https://static-01.daraz.pk/original/7b48719b6d133748c46686a32e1ee3d6.jpg,No Brand,Pack of 4 - V-neck T-shirt,39704,1160172,PASSWORD (Karachi),84%,0.84,3,5973,100%,//www.daraz.pk/shop/password-karachi/?itemId=1160172&channelSource=pdp
0.0,0,https://www.daraz.pk/products/new-printed-jersey-t-shirt-half-sleeves-hoodie-t-shirts-for-men-i402198883-s1941515611.html?search=1,1250,899,-28%,https://static-01.daraz.pk/p/057ee1af4dc7ffd040e41051bdc87e1f.jpg,No Brand,New Printed Jersey T-Shirt Half Sleeves Hoodie T-Shirts For Men,39704,402198883,Eclipse Fashion,84%,0.84,3,6005013342389,95%,//www.daraz.pk/shop/eclipse-fashion/?itemId=402198883&channelSource=pdp
4.5,26,https://www.daraz.pk/products/customized-t-shirt-with-your-photologo-and-name-i203910171-s1404292503.html?search=1,699.0,517.0,-26%,https://static-01.daraz.pk/p/0a7ae6f4a9aea793797ed8251475e954.jpg,No Brand,Customized T Shirt with Your Photo/Logo and Name,39704,203910171,Sixth Sense,92%,0.92,3,5468,100%,//www.daraz.pk/shop/stylesonlinepk/?itemId=203910171&channelSource=pdp
5.0,2,https://www.daraz.pk/products/-i206764653-s1411468370.html?search=1,1000,445,-56%,https://static-01.daraz.pk/p/5291b5a2f2c437d28c900c94b3411429.jpg,No Brand,Markhor Half Sleeves Printed T Shirt For Men,39704,206764653,Maddy Brothers,83%,0.83,3,6005012016688,100%,//www.daraz.pk/shop/maddy-brothers/?itemId=206764653&channelSource=pdp
0.0,0,https://www.daraz.pk/products/pack-of-2-black-summer-printed-tracksuit-for-men-boys-soft-comfortable-fabric-tshirts-for-men-trouser-printed-tracksuit-i397324133-s1923537708.html?search=1,999.0,949.0,-5%,https://static-01.daraz.pk/p/93bef473cdd23d222516a7239c43ebfa.jpg,No Brand,Pack of 2 | Black Summer Printed Tracksuit For Men & Boys | Soft & Comfortable Fabric Tshirts for men & Trouser Printed Tracksuit,39704,397324133,Clifton Store.,89%,0.89,3,6005013201108,100%,//www.daraz.pk/shop/daraz-outlet/?itemId=397324133&channelSource=pdp
4.4,198,https://www.daraz.pk/products/-i185826314-s1371382879.html?search=1,1000,517,-48%,https://static-01.daraz.pk/p/8027cbc2789abdd6d786b0da0384cb0f.jpg,No Brand,Royal blue Long-Sleeve Cotton T-Shirt for Men,39704,185826314,Maddy Brothers,83%,0.83,3,6005012016688,100%,//www.daraz.pk/shop/maddy-brothers/?itemId=185826314&channelSource=pdp
4.0,2,https://www.daraz.pk/products/bindas-collection-half-sleeves-markhor-printed-tshirt-for-men-i337970278-s1747136199.html?search=1,612.0,429.0,-30%,https://static-01.daraz.pk/p/89d2b6d08572dcccd88f6c7505d165e5.jpg,Bindas Collection,"Bindas Collection Half Sleeves, Markhor Printed Tshirt For Men",189896,337970278,Bindas Collection,87%,0.87,3,3849,99%,//www.daraz.pk/shop/bindas-collection/?itemId=337970278&channelSource=pdp
